Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Price,Compare-at price,Cost per item,Charge tax,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Gift card,SEO title,SEO description
Low-Flow Shower Head with Pause Button,low-flow-shower-head-pause-button,"Water-saving shower head designed to reduce everyday water use while keeping a comfortable shower experience.",Water Way,,Water Saving Fixtures,"water-saving, shower-heads, bathroom, eco",false,draft,WW-0001,,Default Title,Default Title,29.99,,16.50,true,shopify,0,deny,500,g,true,manual,false,Low-Flow Shower Head with Pause Button | Water Way,"Shop a water-saving shower head from Water Way for smarter home water use."
Premium Rainfall Water-Saving Shower Head,premium-rainfall-water-saving-shower-head,"Rainfall-style shower head for a premium bathroom feel while supporting controlled water flow.",Water Way,,Water Saving Fixtures,"water-saving, shower-heads, bathroom",false,draft,WW-0002,,Default Title,Default Title,39.99,,22.00,true,shopify,0,deny,500,g,true,manual,false,Premium Rainfall Water-Saving Shower Head | Water Way,"Shop premium water-saving shower products from Water Way."
Kitchen Tap Aerator Flow Saver,kitchen-tap-aerator-flow-saver,"Kitchen tap aerator that helps reduce splashing and unnecessary flow during everyday washing tasks.",Water Way,,Tap Aerators,"water-saving, faucet-aerators, kitchen-water",false,draft,WW-0003,,Default Title,Default Title,9.99,,3.40,true,shopify,0,deny,100,g,true,manual,false,Kitchen Tap Aerator Flow Saver | Water Way,"Save water at the kitchen sink with Water Way tap aerators."
Bathroom Tap Aerator Twin Pack,bathroom-tap-aerator-twin-pack,"Twin pack of bathroom tap aerators for improving flow feel while reducing water use at basins.",Water Way,,Tap Aerators,"water-saving, tap-aerators, bathroom-water",false,draft,WW-0004,,Default Title,Default Title,11.99,,4.20,true,shopify,0,deny,100,g,true,manual,false,Bathroom Tap Aerator Twin Pack | Water Way,"Shop bathroom tap aerators and water-saving fittings at Water Way."
Dual Flush Toilet Converter Kit,dual-flush-toilet-converter-kit,"Toilet conversion kit designed to help reduce unnecessary flush volume where compatible with the cistern setup.",Water Way,,Toilet Water Saving,"water-saving, bathroom-water, toilet",false,draft,WW-0005,,Default Title,Default Title,24.99,,12.50,true,shopify,0,deny,500,g,true,manual,false,Dual Flush Toilet Converter Kit | Water Way,"Reduce bathroom water waste with practical Water Way toilet solutions."
Inline Tap Flow Regulator Set,inline-tap-flow-regulator-set,"Inline flow regulator set for helping manage water output in compatible taps and fittings.",Water Way,,Flow Regulators,"water-saving, faucet-aerators, plumbing-accessories",false,draft,WW-0006,,Default Title,Default Title,14.99,,6.25,true,shopify,0,deny,150,g,true,manual,false,Inline Tap Flow Regulator Set | Water Way,"Shop tap flow regulators and water-saving accessories at Water Way."
Water-Saving Garden Hose Nozzle,water-saving-garden-hose-nozzle,"Multi-pattern garden nozzle with controlled trigger action for efficient outdoor watering and cleaning.",Water Way,,Garden Watering,"water-saving, garden-hoses, irrigation",false,draft,WW-0007,,Default Title,Default Title,18.99,,8.90,true,shopify,0,deny,350,g,true,manual,false,Water-Saving Garden Hose Nozzle | Water Way,"Control garden water use with efficient hose nozzles from Water Way."
Mechanical Garden Water Timer,mechanical-garden-water-timer,"Mechanical timer that helps prevent overwatering by turning off garden water flow after the selected period.",Water Way,,Water Timers,"water-saving, irrigation, smart-water",false,draft,WW-0008,,Default Title,Default Title,16.99,,7.80,true,shopify,0,deny,300,g,true,manual,false,Mechanical Garden Water Timer | Water Way,"Shop garden water timers and irrigation controls at Water Way."
Under-Sink Carbon Water Filter Kit,under-sink-carbon-water-filter-kit,"Under-sink carbon filtration kit for improving everyday drinking and cooking water taste where compatible.",Water Way,,Water Filters,"water-filtration, kitchen-water, replacement-filters",false,draft,WW-0009,,Default Title,Default Title,69.99,,34.00,true,shopify,0,deny,1500,g,true,manual,false,Under-Sink Carbon Water Filter Kit | Water Way,"Shop under-sink water filters and drinking water solutions at Water Way."
Countertop Drinking Water Filter,countertop-drinking-water-filter,"Countertop filter option for cleaner-tasting drinking water without a full under-sink installation.",Water Way,,Water Filters,"water-filtration, kitchen-water",false,draft,WW-0010,,Default Title,Default Title,49.99,,25.00,true,shopify,0,deny,1200,g,true,manual,false,Countertop Drinking Water Filter | Water Way,"Find countertop drinking water filters at Water Way."
Whole House Sediment Filter Housing,whole-house-sediment-filter-housing,"Sediment filter housing for whole-property pre-filtration where compatible with the plumbing setup.",Water Way,,Whole House Filters,"water-filtration, replacement-filters, home-water",false,draft,WW-0011,,Default Title,Default Title,84.99,,43.00,true,shopify,0,deny,2200,g,true,manual,false,Whole House Sediment Filter Housing | Water Way,"Shop whole-house filtration equipment from Water Way."
Reverse Osmosis Drinking Water System,reverse-osmosis-drinking-water-system,"Reverse osmosis system for customers seeking higher-level drinking-water filtration.",Water Way,,Reverse Osmosis,"water-filtration, reverse-osmosis, kitchen-water",false,draft,WW-0012,,Default Title,Default Title,189.99,,102.00,true,shopify,0,deny,6500,g,true,manual,false,Reverse Osmosis Drinking Water System | Water Way,"Shop reverse osmosis drinking water systems at Water Way."
RO Replacement Filter Cartridge Set,ro-replacement-filter-cartridge-set,"Replacement filter cartridge set for compatible reverse osmosis systems.",Water Way,,Replacement Filters,"water-filtration, replacement-filters, reverse-osmosis",false,draft,WW-0013,,Default Title,Default Title,44.99,,20.00,true,shopify,0,deny,1100,g,true,manual,false,RO Replacement Filter Cartridge Set | Water Way,"Shop replacement RO filters and cartridges at Water Way."
Shower Filter Cartridge Unit,shower-filter-cartridge-unit,"Shower filter unit for adding filtration at the shower connection point where compatible.",Water Way,,Shower Filters,"water-filtration, shower-heads, bathroom-water",false,draft,WW-0014,,Default Title,Default Title,22.99,,10.00,true,shopify,0,deny,450,g,true,manual,false,Shower Filter Cartridge Unit | Water Way,"Shop shower filtration accessories at Water Way."
10 Inch Sediment Filter Cartridge,10-inch-sediment-filter-cartridge,"Ten-inch sediment cartridge for compatible filter housings and first-stage particle filtration.",Water Way,,Replacement Filters,"water-filtration, replacement-filters, sediment-filter",false,draft,WW-0015,,Default Title,Default Title,8.99,,3.10,true,shopify,0,deny,300,g,true,manual,false,10 Inch Sediment Filter Cartridge | Water Way,"Shop sediment filter cartridges for compatible systems at Water Way."
10 Inch Carbon Block Filter Cartridge,10-inch-carbon-block-filter-cartridge,"Carbon block cartridge for compatible ten-inch housings and water filtration systems.",Water Way,,Replacement Filters,"water-filtration, replacement-filters, carbon-filter",false,draft,WW-0016,,Default Title,Default Title,12.99,,5.20,true,shopify,0,deny,450,g,true,manual,false,10 Inch Carbon Block Filter Cartridge | Water Way,"Shop carbon water filter cartridges at Water Way."
Starter Drip Irrigation Kit,starter-drip-irrigation-kit,"Starter drip irrigation kit for targeted watering in beds, borders, planters and greenhouses.",Water Way,,Drip Irrigation,"irrigation, drip-irrigation, garden-water",false,draft,WW-0017,,Default Title,Default Title,34.99,,17.50,true,shopify,0,deny,950,g,true,manual,false,Starter Drip Irrigation Kit | Water Way,"Shop drip irrigation kits and garden watering systems at Water Way."
Micro Irrigation Greenhouse Kit,micro-irrigation-greenhouse-kit,"Micro irrigation kit for controlled watering in greenhouses, raised beds and container growing areas.",Water Way,,Drip Irrigation,"irrigation, micro-irrigation, drip-irrigation",false,draft,WW-0018,,Default Title,Default Title,42.99,,21.00,true,shopify,0,deny,1100,g,true,manual,false,Micro Irrigation Greenhouse Kit | Water Way,"Shop greenhouse irrigation and micro watering kits at Water Way."
Soaker Hose 15m,soaker-hose-15m,"Fifteen-metre soaker hose that delivers water slowly along its length for efficient border watering.",Water Way,,Garden Hoses,"irrigation, garden-hoses, soaker-hose",false,draft,WW-0019,,Default Title,Default Title,19.99,,8.80,true,shopify,0,deny,1000,g,true,manual,false,Soaker Hose 15m | Water Way,"Shop soaker hoses for efficient garden irrigation at Water Way."
Expandable Garden Hose 30m,expandable-garden-hose-30m,"Lightweight expandable hose for flexible garden watering, rinsing and outdoor cleaning tasks.",Water Way,,Garden Hoses,"irrigation, garden-hoses, water-accessories",false,draft,WW-0020,,Default Title,Default Title,27.99,,13.00,true,shopify,0,deny,900,g,true,manual,false,Expandable Garden Hose 30m | Water Way,"Shop expandable garden hoses and accessories at Water Way."
Retractable Wall-Mounted Hose Reel,retractable-wall-mounted-hose-reel,"Retractable hose reel for keeping outdoor spaces organised and reducing hose kinks and tangles.",Water Way,,Hose Reels,"irrigation, hose-reels, garden-hoses",false,draft,WW-0021,,Default Title,Default Title,89.99,,48.00,true,shopify,0,deny,5500,g,true,manual,false,Retractable Wall-Mounted Hose Reel | Water Way,"Shop wall-mounted hose reels and garden water storage at Water Way."
Brass Hose Connector Set,brass-hose-connector-set,"Durable brass connector set for reliable garden hose and watering connections.",Water Way,,Hose Connectors,"hose-connectors, hose-fittings, water-accessories",false,draft,WW-0022,,Default Title,Default Title,15.99,,6.40,true,shopify,0,deny,250,g,true,manual,false,Brass Hose Connector Set | Water Way,"Shop hose connectors and brass water fittings at Water Way."
Oscillating Lawn Sprinkler,oscillating-lawn-sprinkler,"Oscillating sprinkler for watering lawns and larger garden areas with adjustable coverage.",Water Way,,Sprinklers,"irrigation, sprinklers, garden-water",false,draft,WW-0023,,Default Title,Default Title,24.99,,11.50,true,shopify,0,deny,750,g,true,manual,false,Oscillating Lawn Sprinkler | Water Way,"Shop lawn sprinklers and garden watering equipment at Water Way."
Smart Irrigation Controller,smart-irrigation-controller,"Connected irrigation controller for scheduling outdoor watering more precisely.",Water Way,,Smart Irrigation,"irrigation, smart-irrigation, smart-water",false,draft,WW-0024,,Default Title,Default Title,119.99,,62.00,true,shopify,0,deny,800,g,true,manual,false,Smart Irrigation Controller | Water Way,"Shop smart irrigation controllers and water timers at Water Way."
Submersible Utility Water Pump,submersible-utility-water-pump,"Submersible utility pump for moving water from tanks, ponds or low areas subject to product specifications.",Water Way,,Water Pumps,"water-pumps, submersible-pump, water-accessories",false,draft,WW-0025,,Default Title,Default Title,74.99,,38.00,true,shopify,0,deny,4200,g,true,manual,false,Submersible Utility Water Pump | Water Way,"Shop submersible pumps and utility water pumps at Water Way."
Garden Booster Pump,garden-booster-pump,"Booster pump for improving flow in suitable garden and water-transfer applications.",Water Way,,Water Pumps,"water-pumps, booster-pump, irrigation",false,draft,WW-0026,,Default Title,Default Title,129.99,,70.00,true,shopify,0,deny,5200,g,true,manual,false,Garden Booster Pump | Water Way,"Shop garden booster pumps and water movement products at Water Way."
Pond Circulation Pump,pond-circulation-pump,"Circulation pump for compatible ponds and water features where flow-rate requirements are matched.",Water Way,,Pool & Pond,"water-pumps, pond-equipment, pool-equipment",false,draft,WW-0027,,Default Title,Default Title,59.99,,30.00,true,shopify,0,deny,2300,g,true,manual,false,Pond Circulation Pump | Water Way,"Shop pond pumps and water feature equipment at Water Way."
Rainwater Downpipe Diverter Kit,rainwater-downpipe-diverter-kit,"Downpipe diverter kit for directing rainwater into a compatible water butt or storage container.",Water Way,,Rainwater Harvesting,"rainwater-harvesting, rainwater, water-butt",false,draft,WW-0028,,Default Title,Default Title,21.99,,9.80,true,shopify,0,deny,450,g,true,manual,false,Rainwater Downpipe Diverter Kit | Water Way,"Shop rainwater diverters and harvesting accessories at Water Way."
Water Butt Overflow Kit,water-butt-overflow-kit,"Overflow kit for managing excess water from compatible water butts and rainwater containers.",Water Way,,Rainwater Harvesting,"rainwater-harvesting, water-butt, water-accessories",false,draft,WW-0029,,Default Title,Default Title,14.99,,6.50,true,shopify,0,deny,300,g,true,manual,false,Water Butt Overflow Kit | Water Way,"Shop water butt accessories and rainwater kits at Water Way."
Rainwater Filter Basket,rainwater-filter-basket,"Rainwater filter basket for helping catch leaves and larger debris before water enters storage.",Water Way,,Rainwater Harvesting,"rainwater-harvesting, rainwater, replacement-filters",false,draft,WW-0030,,Default Title,Default Title,18.99,,8.25,true,shopify,0,deny,400,g,true,manual,false,Rainwater Filter Basket | Water Way,"Shop rainwater filters and collection accessories at Water Way."
Smart Water Leak Sensor,smart-water-leak-sensor,"Compact smart leak sensor designed to alert customers when water is detected in risk areas.",Water Way,,Leak Detection,"leak-detection, leak-sensor, smart-water",false,draft,WW-0031,,Default Title,Default Title,29.99,,14.00,true,shopify,0,deny,150,g,true,manual,false,Smart Water Leak Sensor | Water Way,"Shop smart leak sensors and water alarms at Water Way."
Standalone Water Alarm Twin Pack,standalone-water-alarm-twin-pack,"Twin pack of standalone water alarms for placing near leak-prone areas around the home or workplace.",Water Way,,Leak Detection,"leak-detection, water-alarm, home-water",false,draft,WW-0032,,Default Title,Default Title,18.99,,7.60,true,shopify,0,deny,180,g,true,manual,false,Standalone Water Alarm Twin Pack | Water Way,"Shop water alarms and leak detection products at Water Way."
Automatic Water Shut-Off Valve,automatic-water-shut-off-valve,"Shut-off valve solution for compatible systems that can help reduce damage when a leak is detected.",Water Way,,Leak Detection,"leak-detection, smart-water, water-monitor",false,draft,WW-0033,,Default Title,Default Title,149.99,,82.00,true,shopify,0,deny,1500,g,true,manual,false,Automatic Water Shut-Off Valve | Water Way,"Shop automatic water shut-off and leak protection products at Water Way."
